"Beach ID
(Def.)","Beach Name
(Def.)","Station
ID
(Def.)","Station Name
(Def.)","County
Name
(Def.)","Identifier
(Def.)","Start
Date
(Def.)","Start
Time
(Def.)","Zone
Code
(Def.)","Activity
Type
Code
(Def.)","Characteristic
Name
(Def.)","Result Value
Text
(Def.)","Result
Value
(Def.)","Result
Measure
Unit","Result Comment
(Def.)","Activity
Depth
Value
(Def.)","Activity
Depth
Unit
Code
(Def.)","Result
Analytical
Method
Identifier
Context
(Def.)","Result
Analytical
Method
Identifier
(Def.)","Result
Analytical
Method
Name
(Def.)","Sample Collection
Method Identifier
(Def.)","Sample Collection
Method Name
(Def.)","Field Gear
(Def.)","Analysis
Date
Time
(Def.)","Detection
Quantitation
Limit
(Def.)",Latitude,Longitude
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202209191528:FM,19-Sep-22,3:28:00 PM,PST,Field Msr/Obs,"Temperature, water",-,19.8,deg C,-,-,-,USEPA,170.1,Temperature,-,-,-,09-19-2022,Minimum Reporting Level~-10~deg C,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202208301206:FM,30-Aug-22,12:06:00 PM,PST,Field Msr/Obs,"Temperature, water",-,16.6,deg C,-,-,-,USEPA,170.1,Temperature,-,-,-,08-30-2022,Minimum Reporting Level~-10~deg C,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202208301206:FM,30-Aug-22,12:06:00 PM,PST,Field Msr/Obs,Enterococcus,-,-,MPN/100mL,-,-,-,IDEXX,ENTEROLERT,Enterolert Test Kit Procedure,-,-,-,08-31-2022,Minimum Reporting Level~10~MPN/100mL,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202208301206:FM,30-Aug-22,12:06:00 PM,PST,Field Msr/Obs,Conductivity,-,203,umho/cm,-,-,-,APHA,2510B,2510 B ~ Conductivity - Laboratory Method,-,-,-,08-30-2022,Minimum Reporting Level~1~umho/cm,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202208301206:FM,30-Aug-22,12:06:00 PM,PST,Field Msr/Obs,Salinity,-,0.1,ppth,-,-,-,21ORBCH,MOMs,Method Reference Guide for Water sampling,-,-,-,08-30-2022,Minimum Reporting Level~0.1~ppth,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202208151536:FM,15-Aug-22,3:36:00 PM,PST,Field Msr/Obs,Salinity,-,0.1,ppth,-,-,-,21ORBCH,MOMs,Method Reference Guide for Water sampling,-,-,-,08-15-2022,Minimum Reporting Level~0.1~ppth,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202208151536:FM,15-Aug-22,3:36:00 PM,PST,Field Msr/Obs,Conductivity,-,174,umho/cm,-,-,-,APHA,2510B,2510 B ~ Conductivity - Laboratory Method,-,-,-,08-15-2022,Minimum Reporting Level~1~umho/cm,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202208151536:FM,15-Aug-22,3:36:00 PM,PST,Field Msr/Obs,"Temperature, water",-,17.5,deg C,-,-,-,USEPA,170.1,Temperature,-,-,-,08-15-2022,Minimum Reporting Level~-10~deg C,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202208151536:FM,15-Aug-22,3:36:00 PM,PST,Field Msr/Obs,Enterococcus,-,-,MPN/100mL,-,-,-,IDEXX,ENTEROLERT,Enterolert Test Kit Procedure,-,-,-,08-16-2022,Minimum Reporting Level~10~MPN/100mL,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202207181634:FM,18-Jul-22,4:34:00 PM,PST,Field Msr/Obs,Enterococcus,-,317,MPN/100mL,-,-,-,IDEXX,ENTEROLERT,Enterolert Test Kit Procedure,-,-,-,07-19-2022,Minimum Reporting Level~10~MPN/100mL,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202207181634:FM,18-Jul-22,4:34:00 PM,PST,Field Msr/Obs,Conductivity,-,182,umho/cm,-,-,-,APHA,2510B,2510 B ~ Conductivity - Laboratory Method,-,-,-,07-18-2022,Minimum Reporting Level~1~umho/cm,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202207181634:FM,18-Jul-22,4:34:00 PM,PST,Field Msr/Obs,Salinity,-,0.1,ppth,-,-,-,21ORBCH,MOMs,Method Reference Guide for Water sampling,-,-,-,07-18-2022,Minimum Reporting Level~0.1~ppth,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202207181634:FM,18-Jul-22,4:34:00 PM,PST,Field Msr/Obs,"Temperature, water",-,18.1,deg C,-,-,-,USEPA,170.1,Temperature,-,-,-,07-18-2022,Minimum Reporting Level~-10~deg C,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202206281106:FM,28-Jun-22,11:06:00 AM,PST,Field Msr/Obs,"Temperature, water",-,15.1,deg C,-,-,-,USEPA,170.1,Temperature,-,-,-,06-28-2022,Minimum Reporting Level~-10~deg C,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202206281106:FM,28-Jun-22,11:06:00 AM,PST,Field Msr/Obs,Enterococcus,-,20,MPN/100mL,-,-,-,IDEXX,ENTEROLERT,Enterolert Test Kit Procedure,-,-,-,06-29-2022,Minimum Reporting Level~10~MPN/100mL,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202206281106:FM,28-Jun-22,11:06:00 AM,PST,Field Msr/Obs,Salinity,-,0.1,ppth,-,-,-,21ORBCH,MOMs,Method Reference Guide for Water sampling,-,-,-,06-28-2022,Minimum Reporting Level~0.1~ppth,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202206281106:FM,28-Jun-22,11:06:00 AM,PST,Field Msr/Obs,Conductivity,-,153,umho/cm,-,-,-,APHA,2510B,2510 B ~ Conductivity - Laboratory Method,-,-,-,06-28-2022,Minimum Reporting Level~1~umho/cm,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202206061720:FM,06-Jun-22,5:20:00 PM,PST,Field Msr/Obs,Conductivity,-,129,umho/cm,-,-,-,APHA,2510B,2510 B ~ Conductivity - Laboratory Method,-,-,-,06-06-2022,Minimum Reporting Level~1~umho/cm,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202206061720:FM,06-Jun-22,5:20:00 PM,PST,Field Msr/Obs,Enterococcus,-,52,MPN/100mL,-,-,-,IDEXX,ENTEROLERT,Enterolert Test Kit Procedure,-,-,-,06-07-2022,Minimum Reporting Level~10~MPN/100mL,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202206061720:FM,06-Jun-22,5:20:00 PM,PST,Field Msr/Obs,"Temperature, water",-,17,deg C,-,-,-,USEPA,170.1,Temperature,-,-,-,06-06-2022,Minimum Reporting Level~-10~deg C,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202206061720:FM,06-Jun-22,5:20:00 PM,PST,Field Msr/Obs,Salinity,-,0.1,ppth,-,-,-,21ORBCH,MOMs,Method Reference Guide for Water sampling,-,-,-,06-06-2022,Minimum Reporting Level~0.1~ppth,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202205241146:FM,24-May-22,11:46:00 AM,PST,Field Msr/Obs,Salinity,-,0.1,ppth,-,-,-,21ORBCH,MOMs,Method Reference Guide for Water sampling,-,-,-,05-24-2022,Minimum Reporting Level~0.1~ppth,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202205241146:FM,24-May-22,11:46:00 AM,PST,Field Msr/Obs,Conductivity,-,115,umho/cm,-,-,-,APHA,2510B,2510 B ~ Conductivity - Laboratory Method,-,-,-,05-24-2022,Minimum Reporting Level~1~umho/cm,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202205241146:FM,24-May-22,11:46:00 AM,PST,Field Msr/Obs,Enterococcus,-,-,MPN/100mL,-,-,-,IDEXX,ENTEROLERT,Enterolert Test Kit Procedure,-,-,-,05-25-2022,Minimum Reporting Level~10~MPN/100mL,,
OR298050,HECETA BEACH,36227-ORDEQ,Heceta Beach at the south end pipe runoff,LANE,36227-ORDEQ:202205241146:FM,24-May-22,11:46:00 AM,PST,Field Msr/Obs,"Temperature, water",-,14.2,deg C,-,-,-,USEPA,170.1,Temperature,-,-,-,05-24-2022,Minimum Reporting Level~-10~deg C,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202209191522:FM,19-Sep-22,3:22:00 PM,PST,Field Msr/Obs,Salinity,-,33,ppth,-,-,-,21ORBCH,MOMs,Method Reference Guide for Water sampling,-,-,-,09-19-2022,Minimum Reporting Level~0.1~ppth,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202209191522:FM,19-Sep-22,3:22:00 PM,PST,Field Msr/Obs,"Temperature, water",-,12.6,deg C,-,-,-,USEPA,170.1,Temperature,-,-,-,09-19-2022,Minimum Reporting Level~-10~deg C,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202209191522:FM,19-Sep-22,3:22:00 PM,PST,Field Msr/Obs,Enterococcus,-,-,MPN/100mL,-,-,-,IDEXX,ENTEROLERT,Enterolert Test Kit Procedure,-,-,-,09-20-2022,Minimum Reporting Level~10~MPN/100mL,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202208301201:FM,30-Aug-22,12:01:00 PM,PST,Field Msr/Obs,Enterococcus,-,-,MPN/100mL,-,-,-,IDEXX,ENTEROLERT,Enterolert Test Kit Procedure,-,-,-,08-31-2022,Minimum Reporting Level~10~MPN/100mL,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202208301201:FM,30-Aug-22,12:01:00 PM,PST,Field Msr/Obs,Salinity,-,33,ppth,-,-,-,21ORBCH,MOMs,Method Reference Guide for Water sampling,-,-,-,08-30-2022,Minimum Reporting Level~0.1~ppth,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202208301201:FM,30-Aug-22,12:01:00 PM,PST,Field Msr/Obs,"Temperature, water",-,11.8,deg C,-,-,-,USEPA,170.1,Temperature,-,-,-,08-30-2022,Minimum Reporting Level~-10~deg C,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202208151531:FM,15-Aug-22,3:31:00 PM,PST,Field Msr/Obs,"Temperature, water",-,15.5,deg C,-,-,-,USEPA,170.1,Temperature,-,-,-,08-15-2022,Minimum Reporting Level~-10~deg C,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202208151531:FM,15-Aug-22,3:31:00 PM,PST,Field Msr/Obs,Enterococcus,-,-,MPN/100mL,-,-,-,IDEXX,ENTEROLERT,Enterolert Test Kit Procedure,-,-,-,08-16-2022,Minimum Reporting Level~10~MPN/100mL,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202208151531:FM,15-Aug-22,3:31:00 PM,PST,Field Msr/Obs,Salinity,-,33,ppth,-,-,-,21ORBCH,MOMs,Method Reference Guide for Water sampling,-,-,-,08-15-2022,Minimum Reporting Level~0.1~ppth,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202207181630:FM,18-Jul-22,4:30:00 PM,PST,Field Msr/Obs,Salinity,-,33,ppth,-,-,-,21ORBCH,MOMs,Method Reference Guide for Water sampling,-,-,-,07-18-2022,Minimum Reporting Level~0.1~ppth,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202207181630:FM,18-Jul-22,4:30:00 PM,PST,Field Msr/Obs,Enterococcus,-,10,MPN/100mL,-,-,-,IDEXX,ENTEROLERT,Enterolert Test Kit Procedure,-,-,-,07-19-2022,Minimum Reporting Level~10~MPN/100mL,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202207181630:FM,18-Jul-22,4:30:00 PM,PST,Field Msr/Obs,"Temperature, water",-,13,deg C,-,-,-,USEPA,170.1,Temperature,-,-,-,07-18-2022,Minimum Reporting Level~-10~deg C,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202206281057:FM,28-Jun-22,10:57:00 AM,PST,Field Msr/Obs,Enterococcus,-,-,MPN/100mL,-,-,-,IDEXX,ENTEROLERT,Enterolert Test Kit Procedure,-,-,-,06-29-2022,Minimum Reporting Level~10~MPN/100mL,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202206281057:FM,28-Jun-22,10:57:00 AM,PST,Field Msr/Obs,Salinity,-,32,ppth,-,-,-,21ORBCH,MOMs,Method Reference Guide for Water sampling,-,-,-,06-28-2022,Minimum Reporting Level~0.1~ppth,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202206281057:FM,28-Jun-22,10:57:00 AM,PST,Field Msr/Obs,"Temperature, water",-,11.1,deg C,-,-,-,USEPA,170.1,Temperature,-,-,-,06-28-2022,Minimum Reporting Level~-10~deg C,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202206061711:FM,06-Jun-22,5:11:00 PM,PST,Field Msr/Obs,"Temperature, water",-,16.1,deg C,-,-,-,USEPA,170.1,Temperature,-,-,-,06-06-2022,Minimum Reporting Level~-10~deg C,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202206061711:FM,06-Jun-22,5:11:00 PM,PST,Field Msr/Obs,Enterococcus,-,-,MPN/100mL,-,-,-,IDEXX,ENTEROLERT,Enterolert Test Kit Procedure,-,-,-,06-07-2022,Minimum Reporting Level~10~MPN/100mL,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202206061711:FM,06-Jun-22,5:11:00 PM,PST,Field Msr/Obs,Salinity,-,26,ppth,-,-,-,21ORBCH,MOMs,Method Reference Guide for Water sampling,-,-,-,06-06-2022,Minimum Reporting Level~0.1~ppth,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202205241140:FM,24-May-22,11:40:00 AM,PST,Field Msr/Obs,Enterococcus,-,-,MPN/100mL,-,-,-,IDEXX,ENTEROLERT,Enterolert Test Kit Procedure,-,-,-,05-25-2022,Minimum Reporting Level~10~MPN/100mL,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202205241140:FM,24-May-22,11:40:00 AM,PST,Field Msr/Obs,Salinity,-,30,ppth,-,-,-,21ORBCH,MOMs,Method Reference Guide for Water sampling,-,-,-,05-24-2022,Minimum Reporting Level~0.1~ppth,,
OR298050,HECETA BEACH,36226-ORDEQ,Heceta Beach at the mouth of the south runoff at Driftwood Shores Resort,LANE,36226-ORDEQ:202205241140:FM,24-May-22,11:40:00 AM,PST,Field Msr/Obs,"Temperature, water",-,12.6,deg C,-,-,-,USEPA,170.1,Temperature,-,-,-,05-24-2022,Minimum Reporting Level~-10~deg C,,
OR298050,HECETA BEACH,36225-ORDEQ,Heceta Beach at the mouth of the north runoff at Driftwood Shores Resort,LANE,36225-ORDEQ:202209191513:FM,19-Sep-22,3:13:00 PM,PST,Field Msr/Obs,"Temperature, water",-,13.2,deg C,-,-,-,USEPA,170.1,Temperature,-,-,-,09-19-2022,Minimum Reporting Level~-10~deg C,,
WA765635,Jetty Island,SNO011B,"JETTY ISLAND, SNO011B",SNOHOMISH,71761,01-Sep-22,-,-,Sample-Routine,Enterococcus,-,20,MPN/100mL,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,09-01-2022,Method Detection Level~20~MPN/100mL,48.0078,-122.23133
WA765635,Jetty Island,SNO011A,"JETTY ISLAND, SNO011A",SNOHOMISH,71760,01-Sep-22,-,-,Sample-Routine,Enterococcus,-,10,MPN/100mL,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,09-01-2022,Method Detection Level~10~MPN/100mL,,
WA765635,Jetty Island,SNO011C,"JETTY ISLAND, SNO011C",SNOHOMISH,71759,01-Sep-22,-,-,Sample-Routine,Enterococcus,-,10,MPN/100mL,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,09-01-2022,Method Detection Level~10~MPN/100mL,,
WA765635,Jetty Island,SNO011A,"JETTY ISLAND, SNO011A",SNOHOMISH,71384,17-Aug-22,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100mL,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,08-17-2022,Method Detection Level~10~MPN/100mL,,
WA765635,Jetty Island,SNO011B,"JETTY ISLAND, SNO011B",SNOHOMISH,71383,17-Aug-22,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100mL,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,08-17-2022,Method Detection Level~10~MPN/100mL,,
WA765635,Jetty Island,SNO011C,"JETTY ISLAND, SNO011C",SNOHOMISH,71382,17-Aug-22,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100mL,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,08-17-2022,Method Detection Level~10~MPN/100mL,,
WA765635,Jetty Island,SNO011A,"JETTY ISLAND, SNO011A",SNOHOMISH,71043,03-Aug-22,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100mL,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,08-03-2022,Method Detection Level~10~MPN/100mL,,
WA765635,Jetty Island,SNO011B,"JETTY ISLAND, SNO011B",SNOHOMISH,71042,03-Aug-22,-,-,Sample-Routine,Enterococcus,-,31,MPN/100mL,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,08-03-2022,Method Detection Level~31~MPN/100mL,,
WA765635,Jetty Island,SNO011C,"JETTY ISLAND, SNO011C",SNOHOMISH,71041,03-Aug-22,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100mL,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,08-03-2022,Method Detection Level~10~MPN/100mL,,
WA765635,Jetty Island,SNO011A,"JETTY ISLAND, SNO011A",SNOHOMISH,70632,20-Jul-22,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100mL,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,07-20-2022,Method Detection Level~10~MPN/100mL,,
WA765635,Jetty Island,SNO011B,"JETTY ISLAND, SNO011B",SNOHOMISH,70631,20-Jul-22,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100mL,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,07-20-2022,Method Detection Level~10~MPN/100mL,,
WA765635,Jetty Island,SNO011C,"JETTY ISLAND, SNO011C",SNOHOMISH,70630,20-Jul-22,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100mL,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,07-20-2022,Method Detection Level~10~MPN/100mL,,
WA765635,Jetty Island,SNO011C,"JETTY ISLAND, SNO011C",SNOHOMISH,70219,06-Jul-22,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100mL,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,07-06-2022,Method Detection Level~10~MPN/100mL,,
WA765635,Jetty Island,SNO011B,"JETTY ISLAND, SNO011B",SNOHOMISH,70218,06-Jul-22,-,-,Sample-Routine,Enterococcus,-,10,MPN/100mL,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,07-06-2022,Method Detection Level~10~MPN/100mL,,
WA765635,Jetty Island,SNO011A,"JETTY ISLAND, SNO011A",SNOHOMISH,70217,06-Jul-22,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100mL,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,,,,,
WA765635,Jetty Island,SNO011B,"JETTY ISLAND, SNO011B",SNOHOMISH,68631,25-Aug-21,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100ml,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,08-25-2021,Method Detection Level~10~MPN/100ml,,
WA765635,Jetty Island,SNO011B,"JETTY ISLAND, SNO011B",SNOHOMISH,68630,25-Aug-21,-,-,Quality Control Sample-Field Replicate,Enterococcus,Present Below Quantification Limit,10,MPN/100ml,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,08-25-2021,Method Detection Level~10~MPN/100ml,,
WA765635,Jetty Island,SNO011A,"JETTY ISLAND, SNO011A",SNOHOMISH,68629,25-Aug-21,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100ml,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,08-25-2021,Method Detection Level~10~MPN/100ml,,
WA765635,Jetty Island,SNO011C,"JETTY ISLAND, SNO011C",SNOHOMISH,68628,25-Aug-21,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100ml,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,08-25-2021,Method Detection Level~10~MPN/100ml,,
WA765635,Jetty Island,SNO011B,"JETTY ISLAND, SNO011B",SNOHOMISH,68389,18-Aug-21,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100ml,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,08-18-2021,Method Detection Level~10~MPN/100ml,,
WA765635,Jetty Island,SNO011A,"JETTY ISLAND, SNO011A",SNOHOMISH,68388,18-Aug-21,-,-,Sample-Routine,Enterococcus,-,20,MPN/100ml,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,08-18-2021,Method Detection Level~20~MPN/100ml,,
WA765635,Jetty Island,SNO011C,"JETTY ISLAND, SNO011C",SNOHOMISH,68387,18-Aug-21,-,-,Sample-Routine,Enterococcus,-,20,MPN/100ml,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,08-18-2021,Method Detection Level~20~MPN/100ml,,
WA765635,Jetty Island,SNO011A,"JETTY ISLAND, SNO011A",SNOHOMISH,67968,28-Jul-21,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100ml,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,07-28-2021,Method Detection Level~10~MPN/100ml,,
WA765635,Jetty Island,SNO011A,"JETTY ISLAND, SNO011A",SNOHOMISH,67967,28-Jul-21,-,-,Quality Control Sample-Field Replicate,Enterococcus,Present Below Quantification Limit,10,MPN/100ml,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,07-28-2021,Method Detection Level~10~MPN/100ml,,
WA765635,Jetty Island,SNO011B,"JETTY ISLAND, SNO011B",SNOHOMISH,67966,28-Jul-21,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100ml,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,07-28-2021,Method Detection Level~10~MPN/100ml,,
WA765635,Jetty Island,SNO011C,"JETTY ISLAND, SNO011C",SNOHOMISH,67965,28-Jul-21,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100ml,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,07-28-2021,Method Detection Level~10~MPN/100ml,,
WA765635,Jetty Island,SNO011A,"JETTY ISLAND, SNO011A",SNOHOMISH,67405,14-Jul-21,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100ml,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,07-14-2021,Method Detection Level~10~MPN/100ml,,
WA765635,Jetty Island,SNO011B,"JETTY ISLAND, SNO011B",SNOHOMISH,67404,14-Jul-21,-,-,Sample-Routine,Enterococcus,Present Below Quantification Limit,10,MPN/100ml,-,-,-,APHA,9230-D,9230 D ~ Fluorogenic Substrate Enterococcus Test,Grab,Grab Sample,Water Bottle,07-14-2021,Method Detection Level~10~MPN/100ml,,
